report_id,description,nature,event,sif_label,label_source
OSHA-2018076904,An employee tripped and fell while leaving his car in the workplace parking lot. He suffered a fractured right hip and was hospitalized.,Fractures,"Fall on same level due to tripping, unspecified",NO,weak
OSHA-2019010648,"Employees were attempting to lift and move a cellar cover in order to install a work platform in the cellar for a welder. The cover came into contact with the blowout preventer spool, causing it to fall back. An employee's right middle finger was caught between the cellar cover and the tin horn, causing an amputation to the first knuckle.",Amputations,"Struck by falling object or equipment, unspecified",YES,human
OSHA-2020054791,"An employee was closing a garage door when the employee's fingers were pinched between the closing door panels, resulting in the amputation of the left middle and ring fingertips.",Amputations,Struck by or caught in swinging door or gate,YES,weak
OSHA-2016065370,An employee was closing a gate when her left thumb was caught and amputated between the gate and the frame.,Amputations,Struck by or caught in swinging door or gate,YES,weak
OSHA-2018065914,"An employee was on a ladder pulling cables through the ceiling when the employee lost balance and fell approximately 2 to 3 feet to the ground, fracturing a femur.",Fractures,Other fall to lower level less than 6 feet,YES,weak
OSHA-2018032132,An employee was attempting to cut horns off a carcass at a horn removal machine when the machine activated and amputated two of the employee's fingers.,Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2023010292,"An employee was on a extension ladder installing internet cable to a commercial customer's site. He fell approximately 15 feet off the ladder to the concrete below and sustained injuries to the right leg and knee, a laceration to the forehead, and a bruised right arm. The employee was hospitalized.","Soreness, pain, hurt-nonspecified injury",Other fall to lower level 11 to 15 feet,YES,human
OSHA-2019065651,An employee suffered a fingertip amputation when the hydraulics released and their finger was caught within a space between the bar of the magnet and the claw of the manipulator machine.,Amputations,"Caught in or compressed by equipment or objects, unspecified",YES,weak
OSHA-2017010455,An employee was walking up the ramp of an equipment trailer when the grating on the ramp suddenly gave way and his foot fell through the ramp grating fracturing the lower right leg.,Fractures,Fall through surface or existing opening less than 6 feet,YES,weak
OSHA-2020076615,"An employee shut off the leveler and climbed on the tarp to straighten it. As he was stepping off the tarp, the leveler started back up. The employee slipped. His foot landed on the leveling paddle and his leg got caught between the rotating paddle wheel and the frame. The employee s lower leg was fractured.",Fractures,"Other fall to lower level, unspecified",YES,weak
OSHA-2021098017,A bakery associate was using a step ladder to pull items from the freezer when she fell and fractured her knee and/or leg. The employee was hospitalized.,Fractures,Other fall to lower level less than 6 feet,YES,weak
OSHA-2024021165,"An employee was clearing a jam in a machine. The employee's finger was caught between an anvil roller and a crush cutter, resulting in a fingertip amputation at the nail bed.","Amputations, avulsions, enucleations unspecified","Struck by running powered equipment during maintenance, cleaning, testing",YES,weak
OSHA-2016098378,"An employee was pulling a four-wheel dolly when she slipped, fell, and broke her hip.",Fractures,Fall on same level due to slipping,NO,weak
OSHA-2023010426,An employee was stacking lumber on the steel guides when the employee's right little finger was crushed between a 4 x 6 piece of lumber and a steel guide. He sustained an amputation of the finger below the fingernail.,Amputations,Injured by slipping or swinging object held by injured worker,YES,weak
OSHA-2024053944,An employee was climbing up a ladder and missed a step when he was approximately 5 feet high. He fell to the ground and sustained fractures to his lower back.,Fractures,Other fall to lower level less than 6 feet,YES,weak
OSHA-2025010216,An employee was unloading freight when they slipped on ice and fell to the concrete floor. The employee was hospitalized with a fractured left femur.,Fractures,Fall on same level due to slip or trip,NO,weak
OSHA-20191010609,An employee was changing out a bucket on a bucket loader. The loader was actuated and the employee's left hand was smashed. The employee underwent surgery to amputate fingers.,Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-20241211098,"An employee was standing on a step ladder and operating a hydraulic jack. The jack began shifting, causing the ladder to tip to the left. The employee caught himself as he was stepping down from the third rung of the ladder. When he stepped to the floor, his left foot rolled and twisted under his body weight, resulting in fractures to his tibia and fibula above the ankle.",Fractures,Other fall to lower level less than 6 feet,YES,weak
OSHA-2018088498,An employee was using an overhead crane to attach a hydraulic rock clevis to a pad eye on a grinder tub when his fingertip was amputated.,Amputations,Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-2023076196,An employee was applying pest control products to turf when they became disoriented and demonstrated facial drooping. The employee experienced heat stress/dehydration.,"Effects of heat and light, unspecified",Exposure to environmental heat,NO,weak
OSHA-2022119661,"An employee was standing on a lift about 15 feet in the air to prepare the ceiling to be painted. When reaching over the duct work, the employee lost his balance, falling onto the duct work and to the floor. The employee sustained an elbow injury.","Soreness, pain, hurt-nonspecified injury",Other fall to lower level 11 to 15 feet,YES,weak
OSHA-2025088599,"An employee was taking water samples when he slipped and fell, fracturing his leg.",Fractures,Fall on same level due to slip or trip,NO,weak
OSHA-2015096917,A temporary employee was operating a stand-up forklift with a foot hanging off the edge. He backed into a rack and broke bones.,Fractures,Part of occupant s body caught between vehicle and other object in nonroadway transport incident,YES,weak
OSHA-2019088802,"An employee was transporting a 5-gallon ink bucket on a 3-wheel scooter when the rear right tire struck a conveyor, causing him to be ejected onto the concrete floor. He suffered a dislocated vertebra disc.",Herniated discs,Part of occupant s body caught between vehicle and other object in nonroadway transport incident,YES,weak
OSHA-2020054813,Two employees were standing in a loading area and operating an overhead crane with a remote when a set of PBR aluminum steel sheets fell from the crane and landed on the employees. The first employee suffered a forehead laceration. The second employee suffered a broken right leg.,"Cuts, lacerations",Struck by object falling from vehicle or machinery-other than vehicle part,YES,weak
OSHA-2022097903,An employee was moving a roll ladder when it tipped back and fell on the employee. The employee suffered a broken lower-back vertebra.,Fractures,"Struck by falling object or equipment, unspecified",YES,weak
OSHA-2024087748,"An employee was operating a hoist to lift material. His left index finger became pinched between a D-ring (lifting device) and the material being lifted, resulting in an amputation of the fingertip.","Amputations, avulsions, enucleations unspecified","Caught, entangled in running powered equipment normal operation",YES,weak
OSHA-2019055334,"On May 28, 2019, an employee was attempting to clear a jam from a foam swab machine when the employee's right hand was caught between the chain and sprocket, resulting in a middle fingertip amputation. The machine was guarded and not locked out at the time of the incident.",Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2024088078,"An employee was operating a lift truck. He was stopping the vehicle to prevent it from hitting a parked unit and his leg got caught in between the lift truck and a metal pole. The employee suffered multiple leg fractures. He was hospitalized, requiring surgery.",Fractures,"Collision with stationary object, nonroadway",YES,weak
OSHA-20201010005,"An employee finished unloading the truck and was getting ready to close the rear roll up door on the truck. As he was holding the roll up door to close it, he stepped off the back of the truck and the door closed on his right hand. His index and ring fingers were broken and the middle finger was amputated and reattached.",Amputations,Struck by swinging part of powered vehicle,NO,weak
OSHA-2024010562,"An employee was cleaning a window behind a concrete column. As he finished and began to come down the ladder, he slipped and lost balance. He and the ladder fell. He landed on the side of the ladder, after falling 6 feet, and suffered a broken ankle.",Fractures,Fall to lower level from collapsing structure or equipment 6 to 30 feet,YES,weak
OSHA-2023054232,"An employee was on the eleventh rung of a 28-foot extendable ladder when they fell 11 feet to the concrete floor. The employee sustained spinal vertebral fractures, a spinal cord injury, and nerve damage to the intestines.","Traumatic injuries to spinal cord, unspecified",Other fall to lower level 11 to 15 feet,YES,weak
OSHA-2016010101,"An employee was driving a forklift to take excess liquid concrete to an area where it is poured into 2x2x6 forms for retaining wall blocks. The liquid concrete was being poured into a bucket, which the forklift was lifting above the forms, when the employee exited the forklift to either move or manipulate the bucket. The bucket slipped off the forklift onto his person, pinning him to the ground and causing body trauma.","Traumatic injuries and disorders, unspecified",Struck by object falling from vehicle or machinery-other than vehicle part,NO,weak
OSHA-2015031502,"A PSI blower chip loading system plugged up and tripped the breaker. A maintenance employee locked out the machine, cleared the plug, and restarted the machine. The employee was checking for air flow through the pipes with his right index finger hanging at the stop plate when the mechanical sleeve lacerated the finger pad. The machine amputated a chunk of the right index finger pad. The fingernail and part of the bone were removed to close the skin around the end of the finger.",Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2024099111,"An employee was maneuvering freight in the back of a trailer using a pallet jack. The employee lost balance and fell from the back of their truck to the ground, sustaining head and knee injuries. The employee was hospitalized.",Traumatic injuries or exposures unspecified,Other fall to lower level less than 6 feet,YES,weak
OSHA-2023065659,An employee was spotting for a hydrovac truck that was backing up. They were struck by the hydrovac truck and became caught against another truck. The employee sustained a lacerated spleen and a fractured hip.,"Fractures and other injuries, n.e.c.",Pedestrian struck by vehicle backing up in nonroadway area,YES,human
OSHA-2020087368,"An employee collapsed and fell, striking his head on the concrete floor.","Intracranial injuries, unspecified","Fall on same level, unspecified",NO,weak
OSHA-2018077629,"An employee was driving a stand-up forklift when his hand went between a rack and the forklift, crushing his finger.",Crushing injuries,Part of occupant s body caught between vehicle and other object in nonroadway transport incident,YES,weak
OSHA-2015097198,"An employee operating a lathe attempted to remove a shim located between the jaws of a chuck and pipe. While the employee was removing the shim, the kicker actuated, causing the pipe to move. The employee's finger became stuck between the pipe and the chuck jaws, amputating the right index fingertip.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2016098686,"An employee was picking up a pallet behind a swing reach truck when the truck operator backed up and ran over the employee's left foot, fracturing the second, fourth, and fifth metatarsals.",Fractures,Pedestrian struck by vehicle backing up in nonroadway area,YES,weak
OSHA-2023010710,"An employee was rigging a windmill blade bearing in order to remove old grease fittings. One side of the blade bearing was lifted off the ground to facilitate access. The swivel-eye bolt failed and the bearing fell, striking the employee's foot.","Soreness, pain, hurt-nonspecified injury","Struck by falling object or equipment, unspecified",YES,weak
OSHA-20161010187,An employee was measuring a bundle on a moving conveyor belt. His index left finger got caught between a roller and the bundle and the fingertip was amputated.,Amputations,Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-20231211446,"An employee was checking the gusset seal on a machine. He moved to the next cross sealer and the machine activated, causing an amputation to a left-hand finger. The employee was hospitalized.",Amputations,"Caught in running equipment or machinery, unspecified",YES,weak
OSHA-2017054827,"An employee was operating a forklift. His foot was outside the tow motor when his pinky toe became caught on a walkway barrier. His pinky toe broke, requiring hospitalization and surgery.",Fractures,Part of occupant s body caught between vehicle and other object in nonroadway transport incident,YES,weak
OSHA-2016109447,"An employee was looking into a truck trailer while standing on the ground with his hands on the dock. A forklift then ran over his right hand and crushed the three middle fingers, requiring hospitalization.",Crushing injuries,Pedestrian struck by forward-moving vehicle in nonroadway area,YES,human
OSHA-2025099730,"An employee was working at an assembly plant. He went to move three steel plates (each weighing approximately 60 pounds) that were covering wood that he needed to access. His left middle finger got pinched between the steel plates as he lifted them, resulting in an amputation to his fingertip.","Amputations, avulsions, enucleations unspecified",Injured by object held or wielded by person,YES,weak
OSHA-2020054528,"While driving a forklift, an employee hit a pothole and lost control. The forklift overturned and the employee sustained a head injury, requiring hospitalization.","Intracranial injuries, unspecified","Jack-knifed or overturned, nonroadway",YES,weak
OSHA-2020010290,An employee was lowering a pickup truck's tail gate when his right ring finger was caught between a cable and the tailgate's upper rail. The fingertip was amputated at the first knuckle.,Amputations,Struck by swinging part of powered vehicle,YES,weak
OSHA-2017054842,"After inspecting a roof area at a construction site, an employee stepped down on a ladder, slipped, and fell 20 feet to the ground, suffering broken ribs and a fractured spleen.",Internal injuries to organs and blood vessels of the trunk,Other fall to lower level 16 to 20 feet,YES,weak
OSHA-2019088519,"An employee was painting while standing on the second rung of a ladder. He leaned over to move a pole that was holding up a plastic barrier and lost his balance, falling to the floor and fracturing his right hip.",Fractures,Other fall to lower level less than 6 feet,YES,weak
OSHA-2019066277,An employee's left ring finger was caught and crushed in a door frame.,Crushing injuries,Struck by or caught in swinging door or gate,YES,weak
OSHA-2015031176,An employee's hand got pinched between a cylinder and an air cylinder casing; the right index finger and middle finger were amputated.,Amputations,"Caught in or compressed by equipment or objects, unspecified",YES,human
OSHA-2019022083,An employee slipped and fell on icy ground while unloading a down hole pump off of a trailer. The employee sustained a fractured hip.,Fractures,Fall on same level due to slipping,NO,weak
OSHA-2023021725,An employee sustained an amputation of the right ring fingertip while cleaning a conveyor belt.,Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-20191010375,An employee stood on a wheeled office chair to dust and fell to the floor. The employee was hospitalized.,"Traumatic injuries and disorders, unspecified",Other fall to lower level less than 6 feet,YES,weak
OSHA-2024042949,"An employee was working from an aerial lift when they slipped and their safety harness ripped, causing them to fall 37 feet to the dirt surface below. They sustained fractures to ribs, both collar bones, vertebrae, and also sustained contusions to the lungs.",Multiple severe wounds and internal injuries,Other fall to lower level more than 30 feet,YES,weak
OSHA-2025065520,"An employee tripped over a pallet and fell to the ground, suffering injuries to the head, left arm, and left leg.",Traumatic injuries or exposures unspecified,Fall on same level due to slip or trip,NO,weak
OSHA-2020087782,"Employees were inside the basket of the feed truck repairing the drive shaft on the main floor chain that is beneath the grain pile and perpendicular to the feeder/delivery chain. As the employees were removing feed from the main floor basket to access the drive shaft, an employee was swept by the feeder chain and pulled up and entangled into the beater bar. The employee was hospitalized with a lacerated chest, punctured lung and broken left tibia.","Fractures (except rib, trunk fractures) and internal injuries","Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2021086507,An employee was adjusting a reroller machine. The employee's right forearm was pulled into the dies and fractured. The machine was not guarded at the time.,Fractures,"Caught in running equipment or machinery, unspecified",YES,weak
OSHA-2024087612,"An employee was standing at the administration station counting parts on pallets, verifying correct parts are being sent, and entering shipping information into the computer program. A forklift struck a pallet of approximately 80 cabinet base panels and the panels fell onto the employee who suffered a broken left tibia.",Fractures,Pedestrian struck by vehicle or object propelled by another vehicle in nonroadway area,YES,weak
OSHA-2024087403,An employee was hospitalized for heat exhaustion after losing consciousness in a customer's yard.,"Heat stroke, syncope",Exposure to environmental heat outdoor,NO,weak
OSHA-2015020036,"On February 5, 2015 an employee working at the Genesis Community Center tripped over a curb in the parking lot suffering a dislocated shoulder. The employee was hospitalized due to the severity of the injury.",Dislocation of joints,Fall on same level due to tripping over an object,NO,weak
OSHA-20241211171,An employee was walking to their work vehicle in the parking lot when they slipped on ice and struck the ground. The employee was hospitalized with a back fracture and required surgery.,Fractures,Fall on same level due to slip or trip,YES,weak
OSHA-2017054878,An employee was riding on the back of a pickup truck and slipped off the back fracturing his skull.,Fractures,"Fall or jump from vehicle in normal operation, roadway",YES,human
OSHA-2016010068,An employee was operating a press welder when two of his fingers got caught in the press. His right-hand index and middle fingers were amputated at the first joint.,Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2015010654,An employee walking out the door of a customer location tripped and fell breaking and dislocating the hip.,Fractures and dislocations,"Fall on same level due to tripping, unspecified",NO,weak
OSHA-2023010793,An employee slipped on a newly waxed floor and suffered a broken femur and a broken right wrist.,Fractures,Fall on same level due to slipping,NO,weak
OSHA-2018010153,"An employee was walking when her leg became caught in a green strap that was attached to a pallet. She fell and fractured the orbital area of the left side of her face, requiring surgery.",Fractures,Fall on same level due to tripping over an object,YES,weak
OSHA-20181010441,"An employee was operating an iron worker machine to cut a flat bar when the bar flipped up, catching the employee's left thumb between the bar and machine and resulting in an amputation to the thumb.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-20191213050,An employee was clearing a jam in a production line when an air piston actuated and caught the employee's right index finger. The finger was partially amputated.,Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-20191111449,"On November 01, 2019, an employee was cleaning a mandrel (metal cylinder which holds the can) of a can printing decorating machine when the printer jogged, causing his right hand to be caught between machine's mandrel and blanket wheel (transfers the image onto the can). The employee suffered a laceration and fracture to his right hand, requiring hospitalization.",Fractures,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2022065435,"An employee was using a stand-up forklift to move pallets in a warehouse. As he was backing up the lift, it made contact with a pallet that had a splintered piece of wood, which punctured his left calf. He was hospitalized.","Puncture wounds, except gunshot wounds",Part of occupant s body caught between vehicle and other object in nonroadway transport incident,YES,weak
OSHA-2025065585,"An employee was securing a ramp to a dock to unload cargo. He was using large pins to put the ramp in place when two of his fingers got caught in the ramp, resulting in a partial amputation.","Amputations, avulsions, enucleations unspecified",Caught or wedged between objects nonrunning,YES,weak
OSHA-2023021394,"An employee was removing a food tray from the oven when a meatball fell onto the ground. As the employee reached to pick it up, she slipped on the meatball and struck her hand on the counter and head on the floor. The employee was hospitalized for a hand fracture and syncope.",Fractures,Fall on same level due to slipping,NO,weak
OSHA-2023076803,An employee was casting a cable when the mold malfunctioned and closed on the employee's thumb. They sustained a burn and crush injury.,"Burns and other injuries, n.e.c.",Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2023021454,"An employee was guiding film into a machine that packs frozen materials in cardboard, then wraps it in film and uses heat to seal the product. The chain that pulls the film into the machine caught the employee's right ring finger amputating it at the nail line.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2015052884,"An employee's hand was caught in a tray pack machine, resulting in a finger amputation.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2019088701,"An employee was pressure-washing algae on a tank. As he was leaving work for the day, he started experiencing body cramps due to dehydration.","Effects of heat and light, n.e.c.",Exposure to environmental heat,NO,weak
OSHA-2025021261,An employee was departing work when they fell on the sidewalk. They were hospitalized with a broken right hip.,Fractures,Fall on same level unspecified,NO,weak
OSHA-20181111760,Two employees were operating a stamping press. As one employee was feeding aluminum strips their right hand was caught in the machine and crushed.,Crushing injuries,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2015021346,"On or about 2/1/2015, an employee was operating a stand-up lift truck. His foot slipped off the back of the lift truck and was caught between the back of the lift truck and a wooden crate. The employee was trying to lift his foot off the brake pedal to stop the lift truck but did not completely do so. The employee suffered a broken left foot.",Fractures,Part of occupant s body caught between vehicle and other object in nonroadway transport incident,YES,weak
OSHA-2024010642,"An employee was riding on the rear step of a refuse collector. The employee got off the truck and the vehicle drove backward over the employee's foot, fracturing it.",Fractures,Pedestrian struck by vehicle backing up in roadway,YES,weak
OSHA-2024076251,"An employee was operating an overhead crane with one hand and lifting with the other while installing a push-back weight. His left middle finger was caught in the chain, which amputated the fingertip.","Amputations, avulsions, enucleations unspecified","Caught, entangled in running powered equipment normal operation",YES,weak
OSHA-20201211767,An employee was operating a punch machine when the die amputated the tip of the employee's left index finger.,Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2023098333,An employee was on a 4-foot step ladder outside of the blast booth in the powder plant when they fell to the concrete floor and sustained a head injury.,"Intracranial injuries, unspecified",Other fall to lower level less than 6 feet,YES,weak
OSHA-2018033085,An employee sustained a head injury after being struck by a falling object from a storage rack.,"Intracranial injuries, unspecified","Struck by falling object or equipment, n.e.c.",YES,human
OSHA-2022086934,A firework exploded and amputated an employee's fingers.,Amputations,"Explosion, n.e.c.",YES,weak
OSHA-2022043612,"Regulators were being fitted on an oxygen tank. The tank exploded, causing a flash fire. An employee suffered burns on the left side of the torso, the right hand, and the left side of the face.","Heat (thermal) burns, unspecified","Explosion of pressure vessel, piping, or tire",YES,weak
OSHA-2023109412,"An employee was cleaning a pusher machine when it activated, causing the employee's hand to become caught between two pusher machines. Their left-hand fingertip was amputated.",Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2021053703,An employee was directing a roll-off container truck to reverse into position for dumping demolition debris when a grapple loader nearby reversed and pinned the employee's right arm against the side of the roll-off container truck. The employee's right arm was crushed.,Crushing injuries,Pedestrian struck by vehicle backing up in nonroadway area,YES,weak
OSHA-20231211562,An employee was working as a paint inspector and was inspecting painted pipe for production runs. She pressed the joystick to move the pipe into the number 1 position and then stepped up onto a platform to inspect the end of the pipe. The pipe began to move into the number 2 position that is across the platform the employee was working at. As the employee realized the pipe was moving she tried to back up but was pinned against the pipe roller on the other side of the platform. The pipe continued to move across the platform crushing the employee. The employee suffered a fractured back.,Fractures,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2024065094,"An employee was manually loading parts into the broach machine. Their hand was caught by the ram in the machine and their left middle finger was crushed, resulting in a fingertip amputation.","Amputations, avulsions, enucleations unspecified","Caught, entangled in running powered equipment normal operation",YES,weak
OSHA-2018088832,"While walking in a foyer, an employee tripped and fell to the floor, breaking a hip.",Fractures,Fall on same level due to tripping over self,NO,weak
OSHA-2015020806,"The employee was using a long board to push debris out of the conveyor, which was stopped up. The employee reached for a hand-hold and instead grabbed the conveyor. One of the 2' blocks of lumber and hit his thumb, resulting in an amputation.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2015041829,"An employee was removing a printing press gear that was located in front of a gear that runs an ink roller. While performing this task, employees do not de-energize the ink roller gear because the ink will dry up. The employee's finger got caught between the gear being removed and the ink roller gear. The employee's left index finger was amputated, and two other fingers were injured.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2025099565,"Two employees were working on a scissor lift approximately 15-20 feet above the ground, positioned beside a larger production line with a moving trolley. As the trolly retracted, its external motor struck the basket of the lift, causing the lift to tip over. The injured employee and the lift fell to the ground and they suffered a laceration to the right knee that required hospitalization.","Cuts, lacerations, punctures without injury to internal structures",Fall to lower level from collapsing structure or equipment 6 to 30 feet,YES,weak
OSHA-2016087130,"An employee was supervising the loading of a coil onto a truck from the designated safe zone when the 500-foot, 4-inch coil weighing approximately 1,250 pounds began to slip off the spool that was being lifted by a forklift. The employee tried to push the coil back onto the spool when the coil struck him, knocking him to the ground and cracking his vertebrae.",Fractures,Struck by object falling from vehicle or machinery-other than vehicle part,YES,weak
OSHA-2016021449,"A crane was lowering an arbor into the bell of a flute machine while an employee guided the arbor into position. The employee's right middle finger was caught between the arbor and the bell housing, and his fingertip was amputated.",Amputations,Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-2016010591,"An employee was working with a concrete core drill, coring anchor bolts from concrete, when a piece of concrete got caught in the bit. When the employee backed the drill out of the hole, his jacket became caught in the bit. The bit was turning and wrapped the jacket around itself, breaking the employee's left arm.",Fractures,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2019033043,An employee was working on a cyclone fan and amputated the tip of his left thumb on the blade.,Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2017077045,An employee was stepping onto the top rung of a steel 3-rung fixed ladder when he slipped and hit his shin resulting in a fractured tibia.,Fractures,"Fall onto or against object on same level, n.e.c.",NO,weak
OSHA-2015085944,An employee was directing traffic at the main parking lot along Lancaster Avenue. The employee experienced heat exhaustion and was hospitalized.,"Heat exhaustion, prostration",Exposure to environmental heat,NO,weak
OSHA-2016043577,"On April 22, 2016, at approximately 7:05am, an employee was hospitalized after being injured while moving a plastic water line on I-beams. The employee and a coworker were rolling a 14 inch diameter PVC pipe weighing approximately 300 lbs. and 15 feet in length across I-beam stands. During the roll, the pipe slipped off the I-beam and the employee's thumb was pinched between the I-beam and the pipe resulting in cuts and crushing injuries to the left thumb.",Crushing injuries,Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-2015052181,"An employee fell approximately 12 feet, suffering broken ribs and a collapsed lung.",Internal injuries to organs and blood vessels of the trunk,Other fall to lower level 11 to 15 feet,YES,weak
OSHA-20161112024,An employee suffered a fingertip amputation while clearing a jam in a conveyor.,Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2020099133,"An employee removed a semi-refrigeration unit from the semi-trailer to repair it. After repair, the employee was putting it back on the semi-trailer, but the bolts did not line up. As the employee tried to adjust the bolts, his left index finger was caught between the refrigeration unit and the semi-trailer resulting in amputation of his nail and a quarter inch of his finger.",Amputations,Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-2020010769,An employee was using a stand-up rebar pipe bending machine. He was grabbing rebar when he was caught in the bending pen. His pinky finger was amputated and the middle and ring fingers were fractured.,Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2022032133,A closing trailer door partially amputated an employee's finger.,Amputations,Compressed or pinched by shifting objects or equipment,NO,weak
OSHA-2022076572,An employee was using a turret forklift to removing a box from the second level of a rack. The box slipped and hit the employee's chest causing a contusion.,"Bruises, contusions","Struck by falling object or equipment, n.e.c.",YES,weak
OSHA-2017077211,"While walking down the hallway, an employee slipped and fell fracturing the left patella.",Fractures,Fall on same level due to slipping,NO,weak
OSHA-2023109968,"An employee was pulling cow hides out of a 12-foot-deep hide pool using a long handled, stainless steel hook. The employee was pulling the hides to the edge of the pool, locating the hole in the hide, and hanging the hide on a hide-chain hook for it to travel to the folding table. One end of the long hook got caught on the forward chain hook. Then quickly caught the second hide-chain hook. As the chain hooks got farther apart, the two hooks began to pull the long hook. The employee was attempting to pull the long hook out of the two hooks when their right thumb was caught in a pinch point, resulting in amputation.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2020021909,"An employee was standing on roof joists, installing plywood. He fell off the joist and landed on the floor about 7 feet below. He was hospitalized for a fracture injury.",Fractures,Other fall to lower level 6 to 10 feet,YES,weak
OSHA-2025088565,"An employee was working between the two glass lines at a glass machine. Pieces of glass were not moving properly through the lines and the machine stopped working. The employee crawled under the table, bypassing the guard system, and walking into the ""butterfly"" section where the pieces of glass are put together. After moving some pieces of glass, the machine started working again and the employee was caught in the ""butterfly."" The employee sustained fractures to her L2-L5 vertebrae and was hospitalized.",Fractures,"Struck by running powered equipment during maintenance, cleaning, testing",YES,weak
OSHA-20241211697,"An employee was on a 12-foot ladder assessing a faulty outlet on a light pole. The 220-volt outlet was loose and it touched his lower arm. The employee was shocked and thrown backward from the ladder, landing on his back 8 feet away. The employee was hospitalized with a compression fracture to their L1 vertebra with spinal canal stenosis.",Fractures,Fall to lower level resulting from exposure or contact 6 to 30 feet,YES,weak
OSHA-2016010646,An employee was reconnecting a 20-pound cooling fan located 8 inches above the floor when the fan slipped and pinched the employee's right index finger between the blade and the floor. The finger was amputated.,Amputations,"Struck by falling object or equipment, n.e.c.",YES,weak
